Bcl2a1a_Bcl2a1d,Bcl2a1b,,
Bcl2a1a_Bcl2a1d,Bcl2a1d,,
Ccl21_family,Ccl21a,,
Ccl21_family,Ccl27a,,
Ccl27_family,Ccl21a,,
Ccl27_family,Ccl27a,,
Cd244,Cd244a,,
Chil3,Chil4,,
H2-Ea-ps,H2-D1,,
H2-Ea-ps,H2-Ea,,
H2-Ea-ps,H2-T-ps,,
H2-L_H2-D1,H2-D1,,
H2-L_H2-D1,H2-Ea,,
H2-L_H2-D1,H2-T-ps,,
H2-Pa,H2-D1,,
H2-Pa,H2-Ea,,
H2-Pa,H2-T-ps,,
Hmga1_Hmga1b,Hmga1,,
Ifit3_Ifit3b,Ifi205,,
Ifit3_Ifit3b,Ifit3,,
Ifna_family,Ifna1,,
Ifna_family,Ifna15,,
Ifna_family,Ifna6,,
Ifna_family,Ifnab,,
Ifna_family,Ifnl2,,
Ifna_family,Ifnl3,,
Ifnl2_Ifnl3,Ifna1,,
Ifnl2_Ifnl3,Ifna15,,
Ifnl2_Ifnl3,Ifna6,,
Ifnl2_Ifnl3,Ifnab,,
Ifnl2_Ifnl3,Ifnl2,,
Ifnl2_Ifnl3,Ifnl3,,
Il22_Iltifb,Il22,,
Il22_Iltifb,Il22b,,
Klra20,Klra13-ps,,
Klra20,Klra4,,
Klra20,Klra7,,
Klra21,Klra13-ps,,
Klra21,Klra4,,
Klra21,Klra7,,
Klra4_Klra18,Klra13-ps,,
Klra4_Klra18,Klra4,,
Klra4_Klra18,Klra7,,
Klra7_Klra20,Klra13-ps,,
Klra7_Klra20,Klra4,,
Klra7_Klra20,Klra7,,
Klrc2_Klrc3,Klra13-ps,,
Klrc2_Klrc3,Klra4,,
Klrc2_Klrc3,Klra7,,
Lyz1_Lyz2,Lyz1,,
Lyz1_Lyz2,Lyz2,,
Oas1a_Oas1g,Oas1a,,
Oas1a_Oas1g,Oas1g,,
Pak7,Pak5,https://www.ncbi.nlm.nih.gov/gene/57144,link; that pak5 is also called pak7
Pold4,Polr1g,,
Prame,Pramex1,https://www.ncbi.nlm.nih.gov/gene/75829,link; that Prame; 4930534P07Rik are aliasesof Pramex1
Skp1a,Skp1,https://www.ncbi.nlm.nih.gov/gene/6500,
